column,dataset,column_type,mutation_type,is_sensitive,sensitive_attr_analyzed,symptom_name,pre_symptom_value,post_symptom_value,symptom_difference,symptom_abs_difference,symptom_percent_change
sex,compas.csv,categorical,category_flip,False,sex,Gini Index,0.5986175666975075,0.769344399090067,0.17072683239255948,0.17072683239255948,28.520184152703106
sex,compas.csv,categorical,category_flip,False,sex,Shannon Entropy,0.6870842444338836,0.8265454736016983,0.13946122916781467,0.13946122916781467,20.297544340100885
sex,compas.csv,categorical,category_flip,False,sex,Simpson Diversity,0.427162173916229,0.6251500407760078,0.19798786685977876,0.19798786685977876,46.349578438704704
sex,compas.csv,categorical,category_flip,False,sex,Imbalance Ratio,0.22432925972748982,0.3511083552937529,0.12677909556626307,0.12677909556626307,56.5147389690812
sex,compas.csv,categorical,category_flip,False,sex,Mutual Information,0.0005270158929247572,0.0003336929049920015,-0.00019332298793275568,0.00019332298793275568,-36.682572675347515
sex,compas.csv,categorical,category_flip,False,sex,Normalized Mutual Information,0.0007923953351655299,0.0004380555838969002,-0.0003543397512686297,0.0003543397512686297,-44.71754634883215
sex,compas.csv,categorical,category_flip,False,sex,Correlation Ratio,0.031138088541607767,0.02527461263148269,-0.005863475910125076,0.005863475910125076,-18.83055828006302
sex,compas.csv,categorical,category_flip,False,sex,APD,0.016992415280688095,0.012166397529619614,-0.00482601775106848,0.00482601775106848,-28.40101110613308
sex,compas.csv,categorical,category_flip,False,sex,Statistical Parity,0.0,0.0,0.0,0.0,0.0
sex,compas.csv,categorical,category_flip,False,sex,Disparate Impact,1.088067665379958,1.0392796194406617,-0.0487880459392962,0.0487880459392962,-4.483916533100834
sex,compas.csv,categorical,category_flip,False,sex,Unprivileged Unbalance,0.8848685678773502,0.9375109937926531,0.05264242591530288,0.05264242591530288,5.949180231543668
sex,compas.csv,categorical,category_flip,False,sex,Privileged Unbalance,0.8848685678773502,0.9375109937926531,0.05264242591530288,0.05264242591530288,5.949180231543668
sex,compas.csv,categorical,category_flip,False,sex,Unprivileged Pos Prob,0.04137034665098901,0.04383154313567074,0.002461196484681731,0.002461196484681731,5.94918023154368
sex,compas.csv,categorical,category_flip,False,sex,Privileged Pos Prob,0.04137034665098901,0.04383154313567074,0.002461196484681731,0.002461196484681731,5.94918023154368
sex,compas.csv,categorical,category_flip,False,sex,Pos Probability Diff,0.0,0.0,0.0,0.0,0.0
sex,compas.csv,categorical,category_flip,False,age,Gini Index,0.9835484362458644,0.9835484362458644,0.0,0.0,0.0
sex,compas.csv,categorical,category_flip,False,age,Shannon Entropy,0.8730049661096986,0.8730049661096986,0.0,0.0,0.0
sex,compas.csv,categorical,category_flip,False,age,Simpson Diversity,0.47910195225821933,0.47910195225821933,0.0,0.0,0.0
sex,compas.csv,categorical,category_flip,False,age,Imbalance Ratio,0.0011402508551881414,0.0011402508551881414,0.0,0.0,0.0
sex,compas.csv,categorical,category_flip,False,age,Mutual Information,0.0027247356912688085,0.0027247356912688085,0.0,0.0,0.0
sex,compas.csv,categorical,category_flip,False,age,Normalized Mutual Information,0.0007108434332834659,0.0007108434332834659,0.0,0.0,0.0
sex,compas.csv,categorical,category_flip,False,age,Correlation Ratio,0.06745787943804264,0.06745787943804264,0.0,0.0,0.0
sex,compas.csv,categorical,category_flip,False,age_cat,Gini Index,0.8730804550497773,0.8730804550497773,0.0,0.0,0.0
sex,compas.csv,categorical,category_flip,False,age_cat,Shannon Entropy,0.8919722815541988,0.8919722815541988,0.0,0.0,0.0
