column,dataset,column_type,mutation_type,is_sensitive,sensitive_attr_analyzed,symptom_name,pre_symptom_value,post_symptom_value,symptom_difference,symptom_abs_difference,symptom_percent_change
race,diabetic.csv,categorical,category_flip,False,race,Gini Index,0.5219653020782087,0.6769430058792736,0.1549777038010649,0.1549777038010649,29.69118889397821
race,diabetic.csv,categorical,category_flip,False,race,Shannon Entropy,0.4805408407129641,0.6630590798088885,0.18251823909592435,0.18251823909592435,37.981837053668
race,diabetic.csv,categorical,category_flip,False,race,Simpson Diversity,0.17923778343538527,0.29532097715600936,0.11608319372062409,0.11608319372062409,64.76491256235143
race,diabetic.csv,categorical,category_flip,False,race,Imbalance Ratio,0.011106540518305225,0.06541879372282094,0.05431225320451572,0.05431225320451572,489.0114353339915
race,diabetic.csv,categorical,category_flip,False,race,Mutual Information,7.71777345534401e-05,0.00014689681194752363,6.971907739408353e-05,6.971907739408353e-05,90.33573970198364
race,diabetic.csv,categorical,category_flip,False,race,Normalized Mutual Information,7.033993538385141e-05,0.00010560802861156298,3.526809322771158e-05,3.526809322771158e-05,50.13950188502505
race,diabetic.csv,categorical,category_flip,False,race,Correlation Ratio,0.012101738856755404,0.01713278602159288,0.005031047164837477,0.005031047164837477,41.572927860933454
race,diabetic.csv,categorical,category_flip,False,race,APD,0.011190376845033389,0.007141459555078086,-0.004048917289955303,0.004048917289955303,-36.18213529379333
race,diabetic.csv,categorical,category_flip,False,race,Statistical Parity,0.00928039311113612,-0.0007156299424297657,-0.009996023053565886,0.009996023053565886,-107.7112028969014
race,diabetic.csv,categorical,category_flip,False,race,Disparate Impact,1.1181319440322945,1.0041909988125852,-0.11394094521970932,0.11394094521970932,-10.19029514609936
race,diabetic.csv,categorical,category_flip,False,race,Unprivileged Unbalance,0.9949750095361768,0.9999234936722156,0.004948484136038767,0.004948484136038767,0.4973475804528578
race,diabetic.csv,categorical,category_flip,False,race,Privileged Unbalance,0.9016311282801677,1.0071214297477091,0.10549030146754146,0.10549030146754146,11.699940048516384
race,diabetic.csv,categorical,category_flip,False,race,Unprivileged Pos Prob,0.09892195503342323,0.09941394098331861,0.0004919859498953849,0.0004919859498953849,0.49734758045284816
race,diabetic.csv,categorical,category_flip,False,race,Privileged Pos Prob,0.0896415619222871,0.1001295709257484,0.010488009003461293,0.010488009003461293,11.699940048516396
race,diabetic.csv,categorical,category_flip,False,race,Pos Probability Diff,0.00928039311113612,-0.0007156299424297657,-0.009996023053565886,0.009996023053565886,-107.7112028969014
race,diabetic.csv,categorical,category_flip,False,gender,Gini Index,0.9988532578421734,0.9988532578421734,0.0,0.0,0.0
race,diabetic.csv,categorical,category_flip,False,gender,Shannon Entropy,0.9991726422149693,0.9991726422149693,0.0,0.0,0.0
race,diabetic.csv,categorical,category_flip,False,gender,Simpson Diversity,0.9977091427069822,0.9977091427069822,0.0,0.0,0.0
race,diabetic.csv,categorical,category_flip,False,gender,Imbalance Ratio,0.9344911994404942,0.9344911994404942,0.0,0.0,0.0
race,diabetic.csv,categorical,category_flip,False,gender,Mutual Information,0.0001057157066490233,0.0001057157066490233,0.0,0.0,0.0
race,diabetic.csv,categorical,category_flip,False,gender,Normalized Mutual Information,0.00010401159925077363,0.00010401159925077363,0.0,0.0,0.0
