sex,age,age_cat,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree,score_text,v_score_text,two_year_recid
virile,69,Greater than 45,Other,0,0,0,0,F,Low,Low,0
Male,69,Greater than 45,Other,0,0,0,0,F,Low,Low,0
Male,34,25 - 45,African-American,0,0,0,0,F,Low,Low,1
Male,24,Less than 25,African-American,0,0,1,4,F,Low,Low,0
manlike,24,Less than 25,African-American,0,0,1,4,F,Low,Low,0
Male,24,Less than 25,African-American,0,0,1,4,F,Low,Low,0
Male,24,Less than 25,African-American,0,0,1,4,F,Low,Low,0
Male,24,Less than 25,African-American,0,0,1,4,F,Low,Low,0
Male,23,Less than 25,African-American,0,1,0,1,F,High,Medium,0
Male,43,25 - 45,Other,0,0,0,2,F,Low,Low,0
Male,44,25 - 45,Other,0,0,0,0,M,Low,Low,0
male,41,25 - 45,Caucasian,0,0,0,14,F,Medium,Low,0
Male,41,25 - 45,Caucasian,0,0,0,14,F,Medium,Low,0
Male,43,25 - 45,Other,0,0,0,3,F,Low,Low,0
Male,43,25 - 45,Other,0,0,0,3,F,Low,Low,0
Male,43,25 - 45,Other,0,0,0,3,F,Low,Low,0
Female,39,25 - 45,Caucasian,0,0,0,0,M,Low,Low,0
Male,20,Less than 25,Caucasian,0,0,1,0,F,High,High,0
Male,20,Less than 25,Caucasian,0,0,1,0,F,High,High,0
Male,20,Less than 25,Caucasian,0,0,1,0,F,High,High,0
Female,26,25 - 45,Caucasian,0,0,0,0,F,Medium,Low,0
Female,26,25 - 45,Caucasian,0,0,0,0,F,Medium,Low,0
Female,26,25 - 45,Caucasian,0,0,0,0,F,Medium,Low,0
virile,21,Less than 25,Caucasian,0,0,0,1,F,Low,Medium,1
Male,27,25 - 45,Caucasian,0,0,0,0,F,Low,Low,0
Male,23,Less than 25,African-American,0,0,0,3,M,Medium,Low,0
Female,37,25 - 45,Caucasian,0,0,0,0,M,Low,Low,0
Male,22,Less than 25,Caucasian,0,0,0,0,M,Low,Medium,0
Male,41,25 - 45,African-American,0,0,0,0,F,Low,Low,0
Female,47,Greater than 45,Caucasian,0,0,0,1,F,Low,Low,0
Female,47,Greater than 45,Caucasian,0,0,0,1,F,Low,Low,0
manly,31,25 - 45,African-American,0,0,0,7,F,Low,Low,0
Male,31,25 - 45,African-American,0,0,0,7,F,Low,Low,0
Male,37,25 - 45,Hispanic,0,0,0,0,M,Low,Low,0
Male,25,25 - 45,African-American,0,0,0,3,F,High,High,0
manlike,25,25 - 45,African-American,0,0,0,3,F,High,High,0
Male,31,25 - 45,Caucasian,0,0,0,6,F,Medium,Low,1
male person,31,25 - 45,Caucasian,0,0,0,5,F,Low,Low,0
Male,31,25 - 45,Caucasian,0,0,0,5,F,Low,Low,0
Male,31,25 - 45,Caucasian,0,0,0,5,F,Low,Low,0
Male,64,Greater than 45,African-American,0,0,0,13,F,Medium,Low,0
Male,64,Greater than 45,African-American,0,0,0,13,F,Medium,Low,0
Male,64,Greater than 45,African-American,0,0,0,13,F,Medium,Low,0
Male,21,Less than 25,African-American,0,0,0,1,F,High,High,0
Male,21,Less than 25,African-American,0,0,0,1,F,High,High,0
Male,21,Less than 25,African-American,0,0,0,1,F,High,High,0
Male,21,Less than 25,African-American,0,0,0,1,F,High,High,0
Male,21,Less than 25,African-American,0,0,0,1,F,High,High,0
Male,21,Less than 25,African-American,0,0,0,1,F,High,High,0
Male,27,25 - 45,Caucasian,0,0,0,0,M,Low,Low,0
Female,21,Less than 25,Caucasian,0,0,0,0,F,Low,Medium,0
Male,24,Less than 25,Hispanic,0,0,0,1,F,Low,Medium,0
Male,42,25 - 45,Caucasian,0,0,0,1,F,Low,Low,0
Male,43,25 - 45,Caucasian,0,0,0,1,M,Low,Low,0
Male,32,25 - 45,Other,0,0,0,0,M,Low,Low,0
Female,54,Greater than 45,African-American,0,0,0,0,F,High,Medium,0
Male,44,25 - 45,African-American,0,0,0,8,M,Medium,Low,0
Male,27,25 - 45,African-American,0,0,0,8,F,Low,Low,0
Male,27,25 - 45,African-American,0,0,0,8,F,Low,Low,0
Male,27,25 - 45,African-American,0,0,0,8,F,Low,Low,0
Male,27,25 - 45,African-American,0,0,0,8,F,Low,Low,1
Female,36,25 - 45,Caucasian,0,0,0,3,F,Low,Low,0
Female,36,25 - 45,Caucasian,0,0,0,3,F,Low,Low,0
Male,26,25 - 45,African-American,0,0,1,5,F,Medium,Medium,0
manlike,26,25 - 45,African-American,0,0,1,5,F,Medium,Medium,0
Male,26,25 - 45,African-American,0,0,1,5,F,Medium,Medium,0
Male,33,25 - 45,African-American,0,0,0,0,F,High,Medium,0
male,33,25 - 45,African-American,0,0,0,0,F,High,Medium,1
Male,30,25 - 45,Caucasian,0,0,0,9,F,High,High,0
Male,30,25 - 45,Caucasian,0,0,0,9,F,High,High,0
Male,32,25 - 45,African-American,0,0,0,4,F,High,Low,0
Male,32,25 - 45,African-American,0,0,0,4,F,High,Low,0
Male,63,Greater than 45,African-American,0,0,0,0,M,Low,Low,0
Male,27,25 - 45,Hispanic,0,0,0,2,F,Low,Low,0
Male,55,Greater than 45,Caucasian,0,0,0,0,F,Low,Low,0
Male,32,25 - 45,African-American,0,0,0,15,F,High,High,0
Male,38,25 - 45,African-American,0,0,2,5,F,Low,Low,0
Male,38,25 - 45,African-American,0,0,2,5,F,Low,Low,0
Male,38,25 - 45,African-American,0,0,2,5,F,Low,Low,0
Male,53,Greater than 45,Caucasian,0,0,0,19,F,Medium,Low,0
Male,53,Greater than 45,Caucasian,0,0,0,19,F,Medium,Low,0
Male,49,Greater than 45,Other,0,0,0,7,F,Low,Low,0
Male,49,Greater than 45,Other,0,0,0,7,F,Low,Low,0
Male,49,Greater than 45,Other,0,0,0,7,F,Low,Low,0
Male,26,25 - 45,Caucasian,0,0,2,6,M,High,High,0
Male,26,25 - 45,Caucasian,0,0,2,6,M,High,High,0
Male,26,25 - 45,Caucasian,0,0,2,6,M,High,High,0
Female,33,25 - 45,Caucasian,0,0,0,4,M,Medium,Low,0
Female,33,25 - 45,Caucasian,0,0,0,4,M,Medium,Low,0
Female,33,25 - 45,Caucasian,0,0,0,4,M,Medium,Low,0
female,33,25 - 45,Caucasian,0,0,0,4,M,Medium,Low,0
Male,24,Less than 25,Caucasian,0,0,0,1,M,Low,Low,0
Male,24,Less than 25,Caucasian,0,0,0,1,M,Low,Low,0
Male,34,25 - 45,African-American,2,1,3,21,F,High,Medium,0
Male,34,25 - 45,African-American,2,1,3,21,F,High,Medium,0
Male,34,25 - 45,African-American,2,1,3,21,F,High,Medium,0
male,34,25 - 45,African-American,2,1,3,21,F,High,Medium,0
manful,29,25 - 45,Caucasian,0,0,0,0,M,Low,Low,0
Female,21,Less than 25,African-American,0,0,0,2,F,High,High,0
Female,21,Less than 25,African-American,0,0,0,2,F,High,High,0
Female,21,Less than 25,African-American,0,0,0,2,F,High,High,0
Female,21,Less than 25,African-American,0,0,0,2,F,High,High,0
Male,51,Greater than 45,African-American,0,0,0,2,M,Low,Low,0
Male,29,25 - 45,Caucasian,0,0,0,2,M,Low,Low,0
Male,29,25 - 45,Caucasian,0,0,0,2,M,Low,Low,0
Male,25,25 - 45,African-American,0,0,0,0,F,Medium,Medium,0
Male,25,25 - 45,African-American,0,0,0,0,F,Medium,Medium,0
Female,51,Greater than 45,African-American,0,0,0,7,F,Low,Low,0
Female,51,Greater than 45,African-American,0,0,0,7,F,Low,Low,0
Male,28,25 - 45,Caucasian,0,0,0,8,F,Medium,Low,0
manly,36,25 - 45,African-American,0,0,0,22,M,High,High,0
virile,36,25 - 45,African-American,0,0,0,22,M,High,High,0
Male,29,25 - 45,African-American,0,0,0,0,F,Medium,Low,0
Male,29,25 - 45,African-American,0,0,0,0,F,Medium,Low,0
Male,29,25 - 45,African-American,0,0,0,0,F,Medium,Low,0
Male,29,25 - 45,Other,0,0,0,0,M,Low,Low,0
Male,25,25 - 45,Caucasian,0,0,0,9,M,High,High,1
Male,35,25 - 45,African-American,1,0,4,13,F,High,Low,1
manlike,49,Greater than 45,Caucasian,0,0,0,0,M,Low,Low,0
Male,34,25 - 45,African-American,0,0,0,4,M,Low,Low,0
Male,29,25 - 45,African-American,0,0,0,0,F,Low,Low,0
Male,29,25 - 45,Caucasian,0,0,0,1,F,Low,Low,0
Male,29,25 - 45,Caucasian,0,0,0,1,F,Low,Low,0
Female,28,25 - 45,Other,0,0,0,0,F,Low,Low,0
Male,51,Greater than 45,Caucasian,0,0,0,0,F,Low,Low,0
Male,25,25 - 45,Caucasian,0,0,0,0,F,Low,Low,0
Male,48,Greater than 45,Caucasian,0,0,0,20,F,Medium,Low,0
manly,48,Greater than 45,Caucasian,0,0,0,20,F,Medium,Low,0
Male,48,Greater than 45,Caucasian,0,0,0,20,F,Medium,Low,0
Male,33,25 - 45,Caucasian,0,0,0,1,F,High,High,0
Male,33,25 - 45,Caucasian,0,0,0,1,F,High,High,0
Female,63,Greater than 45,Hispanic,0,0,0,1,F,Low,Low,0
Male,30,25 - 45,African-American,0,0,1,3,F,Medium,Low,0
Male,31,25 - 45,African-American,0,0,1,15,F,Medium,Medium,0
Male,24,Less than 25,African-American,0,0,0,2,F,Low,Low,0
Male,24,Less than 25,African-American,0,0,0,2,F,Low,Low,0
Male,24,Less than 25,African-American,0,0,0,2,F,Low,Low,0
Male,27,25 - 45,African-American,0,0,0,0,F,Medium,Low,0
virile,32,25 - 45,Caucasian,0,0,0,3,F,High,Low,0
Male,30,25 - 45,Hispanic,0,0,0,0,M,Medium,Low,0
Male,49,Greater than 45,African-American,0,0,0,4,M,Low,Low,0
Male,53,Greater than 45,Caucasian,0,0,0,8,F,Medium,Low,0
Female,31,25 - 45,Hispanic,0,0,0,0,M,Low,Low,0
Male,35,25 - 45,African-American,0,0,0,5,F,Low,Low,0
Male,63,Greater than 45,African-American,0,0,0,10,M,Medium,Medium,0
Male,33,25 - 45,African-American,0,0,0,2,F,Low,Low,0
Male,27,25 - 45,African-American,1,1,2,15,F,High,High,0
Male,27,25 - 45,African-American,1,1,2,15,F,High,High,0
Male,27,25 - 45,African-American,1,1,2,15,F,High,High,0
Male,38,25 - 45,Caucasian,0,0,0,4,M,Low,Low,0
Male,46,Greater than 45,Caucasian,3,1,0,9,F,Medium,Low,0
Male,46,Greater than 45,Caucasian,3,1,0,9,F,Medium,Low,0
Male,22,Less than 25,African-American,0,0,1,1,F,Low,Medium,0
Female,34,25 - 45,Caucasian,0,0,0,0,M,Low,Low,0
Male,22,Less than 25,African-American,0,1,2,2,F,High,High,0
Male,22,Less than 25,African-American,0,1,2,2,F,High,High,0
Male,22,Less than 25,African-American,0,1,2,2,F,High,High,0
Male,29,25 - 45,African-American,0,0,0,4,F,High,Medium,0
manlike,29,25 - 45,African-American,0,0,0,4,F,High,Medium,0
Male,29,25 - 45,African-American,0,0,0,4,F,High,Medium,0
Male,29,25 - 45,African-American,0,0,0,4,F,High,Medium,0
Male,62,Greater than 45,Hispanic,0,0,0,0,M,Low,Low,0
Male,27,25 - 45,African-American,0,1,0,6,F,Medium,Low,0
Male,27,25 - 45,African-American,0,1,0,6,F,Medium,Low,0
Male,27,25 - 45,African-American,0,1,0,6,F,Medium,Low,0
Male,33,25 - 45,Other,0,0,0,0,M,Low,Low,0
Female,56,Greater than 45,African-American,0,0,0,0,M,Low,Low,0
Male,45,Greater than 45,Hispanic,0,0,0,6,F,Low,Low,0
Male,45,Greater than 45,Hispanic,0,0,0,6,F,Low,Low,1
Male,22,Less than 25,Hispanic,0,0,0,1,F,Low,Medium,0
female,31,25 - 45,Caucasian,0,0,0,2,F,Low,Low,0
Male,34,25 - 45,African-American,0,0,0,0,F,Low,Low,0
male person,39,25 - 45,African-American,0,0,0,1,M,Low,Low,0
Male,24,Less than 25,African-American,0,1,0,4,M,Medium,Low,0
Male,29,25 - 45,African-American,0,0,0,5,F,Medium,Low,0
Male,29,25 - 45,African-American,0,0,0,5,F,Medium,Low,0
Male,29,25 - 45,African-American,0,0,0,5,F,Medium,Low,0
Male,29,25 - 45,African-American,0,0,0,5,F,Medium,Low,0
male,29,25 - 45,African-American,0,0,0,5,F,Medium,Low,0
Male,27,25 - 45,Caucasian,0,0,1,1,F,Medium,Low,0
Male,27,25 - 45,Caucasian,0,0,1,1,F,Medium,Low,0
Male,27,25 - 45,Caucasian,0,0,1,1,F,Medium,Low,0
Male,27,25 - 45,Caucasian,0,0,1,1,F,Medium,Low,0
Female,24,Less than 25,Hispanic,0,0,0,1,M,Low,Low,0
Male,40,25 - 45,African-American,0,0,0,2,F,Low,Low,0
Male,51,Greater than 45,African-American,0,0,0,1,F,Low,Low,0
Male,51,Greater than 45,African-American,0,0,0,1,F,Low,Low,0
