sex,age,age_cat,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree,score_text,v_score_text,two_year_recid
Male,69,Greater than 45,Other,0,0,0,0,F,Low,Low,0
Male,69,Greater than 45,Other,0,0,0,0,F,Low,Low,0
Male,34,25 - 45,African-American,0,0,0,0,F,Low,Low,1
Male,24,Less than 25,African-American,0,0,1,4,F,Low,Low,0
Male,24,Less than 25,African-American,0,0,1,4,F,Low,Low,0
Male,24,Less than 25,African-American,0,0,1,4,F,Low,Low,0
Male,24,Less than 25,African-American,0,0,1,4,F,Low,Low,0
Male,24,Less than 25,African-American,0,0,1,4,F,Low,Low,0
Male,23,Less than 25,African-American,0,1,0,1,F,High,Medium,0
Male,43,25 - 45,Other,0,0,0,2,(TCX),Low,Low,0
Male,44,25 - 45,Other,0,0,0,0,M,Low,Low,0
Male,41,25 - 45,Caucasian,0,0,0,14,F,Medium,Low,0
Male,41,25 - 45,Caucasian,0,0,0,14,F,Medium,Low,0
Male,43,25 - 45,Other,0,0,0,3,F,Low,Low,0
Male,43,25 - 45,Other,0,0,0,3,F,Low,Low,0
Male,43,25 - 45,Other,0,0,0,3,F,Low,Low,0
Female,39,25 - 45,Caucasian,0,0,0,0,(X),Low,Low,0
Male,20,Less than 25,Caucasian,0,0,1,0,F,High,High,0
Male,20,Less than 25,Caucasian,0,0,1,0,F,High,High,0
Male,20,Less than 25,Caucasian,0,0,1,0,F,High,High,0
Female,26,25 - 45,Caucasian,0,0,0,0,F,Medium,Low,0
Female,26,25 - 45,Caucasian,0,0,0,0,F,Medium,Low,0
Female,26,25 - 45,Caucasian,0,0,0,0,(CO3),Medium,Low,0
Male,21,Less than 25,Caucasian,0,0,0,1,F,Low,Medium,1
Male,27,25 - 45,Caucasian,0,0,0,0,F,Low,Low,0
Male,23,Less than 25,African-American,0,0,0,3,M,Medium,Low,0
Female,37,25 - 45,Caucasian,0,0,0,0,M,Low,Low,0
Male,22,Less than 25,Caucasian,0,0,0,0,M,Low,Medium,0
Male,41,25 - 45,African-American,0,0,0,0,F,Low,Low,0
Female,47,Greater than 45,Caucasian,0,0,0,1,(X),Low,Low,0
Female,47,Greater than 45,Caucasian,0,0,0,1,F,Low,Low,0
Male,31,25 - 45,African-American,0,0,0,7,F,Low,Low,0
Male,31,25 - 45,African-American,0,0,0,7,F,Low,Low,0
Male,37,25 - 45,Hispanic,0,0,0,0,M,Low,Low,0
Male,25,25 - 45,African-American,0,0,0,3,F,High,High,0
Male,25,25 - 45,African-American,0,0,0,3,F,High,High,0
